,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-25,1,23-146,PHI,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
1,1990-10-27,2,23-148,PHI,@,NYI,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
2,1990-11-06,3,23-158,PHI,@,WIN,W,1,0,1,1,2,1,0,0,0,,,,1,100.0,,,,,,,
3,1990-11-08,4,23-160,PHI,,CGY,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
4,1990-11-10,5,23-162,PHI,@,QUE,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
5,1990-11-11,6,23-163,PHI,,VAN,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
6,1990-11-13,7,23-165,PHI,,NYR,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
7,1990-11-15,8,23-167,PHI,,MTL,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
8,1990-11-17,9,23-169,PHI,@,NJD,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
9,1990-11-18,10,23-170,PHI,,NJD,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
10,1990-11-21,11,23-173,PHI,@,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
11,1990-11-23,12,23-175,PHI,,TOR,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
12,1990-11-25,13,23-177,PHI,,NYI,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
13,1990-11-27,14,23-179,PHI,@,NYI,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
14,1990-11-28,15,23-180,PHI,@,NJD,T,1,0,1,-1,0,0,1,0,0,,,,1,100.0,,,,,,,
15,1990-11-30,16,23-182,PHI,,NYR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
16,1990-12-02,17,23-184,PHI,,EDM,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
17,1990-12-06,18,23-188,PHI,,BUF,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
18,1990-12-08,19,23-190,PHI,@,MNS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
19,1990-12-09,20,23-191,PHI,@,CHI,W,0,0,0,1,4,0,0,0,0,,,,1,0.0,,,,,,,
20,1990-12-11,21,23-193,PHI,@,WSH,L,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
21,1990-12-13,22,23-195,PHI,,NYI,T,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
22,1990-12-15,23,23-197,PHI,,DET,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
23,1990-12-16,24,23-198,PHI,@,WIN,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
24,1990-12-18,25,23-200,PHI,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
25,1990-12-20,26,23-202,PHI,,NJD,T,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
26,1990-12-22,27,23-204,PHI,@,HAR,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
27,1990-12-23,28,23-205,PHI,,MTL,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
28,1990-12-27,29,23-209,PHI,@,LAK,W,0,0,0,1,4,0,0,0,0,,,,2,0.0,,,,,,,
29,1990-12-29,30,23-211,PHI,@,STL,W,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
30,1990-12-31,31,23-213,PHI,@,BUF,L,0,0,0,-4,0,0,0,0,0,,,,1,0.0,,,,,,,
31,1991-01-04,32,23-217,PHI,@,WSH,T,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
32,1991-01-05,33,23-218,PHI,@,NYI,L,0,1,1,-1,2,0,0,0,0,,,,0,,,,,,,,
33,1991-01-07,34,23-220,PHI,@,NYR,L,0,0,0,-1,4,0,0,0,0,,,,0,,,,,,,,
34,1991-01-12,35,23-225,PHI,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
35,1991-01-13,36,23-226,PHI,,EDM,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
36,1991-01-15,37,23-228,PHI,,PIT,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
37,1991-01-17,38,23-230,PHI,,QUE,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
38,1991-01-22,39,23-235,PHI,,CGY,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
39,1991-01-24,40,23-237,PHI,,WSH,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
40,1991-01-26,41,23-239,PHI,@,HAR,L,0,1,1,2,0,0,0,0,0,,,,3,0.0,,,,,,,
41,1991-01-31,42,23-244,PHI,,PIT,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,,,,,,,
42,1991-02-02,43,23-246,PHI,,HAR,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
43,1991-02-05,44,23-249,PHI,,LAK,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
44,1991-02-07,45,23-251,PHI,,VAN,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
45,1991-02-10,46,23-254,PHI,@,WSH,L,0,0,0,-1,15,0,0,0,0,,,,0,,,,,,,,
46,1991-02-13,47,23-257,PHI,@,TOR,W,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
47,1991-02-16,48,23-260,PHI,@,NJD,L,1,0,1,1,0,1,0,0,0,,,,4,25.0,,,,,,,
48,1991-02-18,49,23-262,PHI,,CHI,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
49,1991-02-21,50,23-265,PHI,,NYR,T,2,0,2,2,0,2,0,0,0,,,,4,50.0,,,,,,,
50,1991-02-23,51,23-267,PHI,@,NYI,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,,,,,,,
51,1991-02-24,52,23-268,PHI,,NYI,W,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
52,1991-02-26,53,23-270,PHI,@,MNS,T,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
53,1991-03-02,54,23-274,PHI,,STL,T,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
54,1991-03-04,55,23-276,PHI,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
55,1991-03-07,56,23-279,PHI,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
56,1991-03-08,57,23-280,PHI,@,EDM,L,1,0,1,0,2,1,0,0,0,,,,1,100.0,,,,,,,
57,1991-03-12,58,23-284,PHI,@,LAK,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,,,,,,,
58,1991-03-13,59,23-285,PHI,@,VAN,W,1,1,2,1,2,0,1,0,1,,,,1,100.0,,,,,,,
59,1991-03-16,60,23-288,PHI,@,WSH,L,0,0,0,-3,0,0,0,0,0,,,,1,0.0,,,,,,,
60,1991-03-17,61,23-289,PHI,,BOS,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
61,1991-03-21,62,23-293,PHI,,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
62,1991-03-23,63,23-295,PHI,,NYR,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
63,1991-03-24,64,23-296,PHI,@,BUF,L,1,1,2,-1,5,0,1,0,0,,,,3,33.3,,,,,,,
64,1991-03-26,65,23-298,PHI,,PIT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
65,1991-03-28,66,23-300,PHI,,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
66,1991-03-30,67,23-302,PHI,@,PIT,T,0,0,0,-1,2,0,0,0,0,,,,5,0.0,,,,,,,
67,1991-10-05,1,24-126,STL,@,NJD,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
68,1991-10-07,2,24-128,STL,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
69,1991-10-10,3,24-131,STL,,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
70,1991-10-12,4,24-133,STL,,SJS,W,1,1,2,3,2,1,0,0,0,,,,2,50.0,,,,,,,
71,1991-10-15,5,24-136,STL,,TOR,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
72,1991-10-17,6,24-138,STL,@,DET,L,0,0,0,-2,2,0,0,0,0,,,,0,,,,,,,,
73,1991-10-19,7,24-140,STL,,CHI,T,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
74,1991-10-24,8,24-145,STL,,BOS,W,0,0,0,-1,11,0,0,0,0,,,,2,0.0,,,,,,,
75,1991-10-26,9,24-147,STL,,CGY,T,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
76,1991-10-28,10,24-149,STL,@,TOR,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
77,1991-10-30,11,24-151,STL,@,EDM,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
78,1991-11-01,12,24-153,STL,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
79,1991-11-03,13,24-155,STL,@,WIN,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
80,1991-11-05,14,24-157,STL,,PHI,L,0,0,0,-2,2,0,0,0,0,,,,2,0.0,,,,,,,
81,1991-11-07,15,24-159,STL,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
82,1991-11-09,16,24-161,STL,,HAR,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
83,1991-11-10,17,24-162,STL,@,DET,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
84,1991-11-14,18,24-166,STL,,WIN,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
85,1991-11-16,19,24-168,STL,,MNS,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,,,,,,,
86,1991-11-17,20,24-169,STL,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
87,1991-11-20,21,24-172,STL,,TOR,W,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
88,1991-11-23,22,24-175,STL,,NYR,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
89,1991-11-28,23,24-180,STL,,QUE,W,0,1,1,4,2,0,0,0,0,,,,1,0.0,,,,,,,
90,1991-11-30,24,24-182,STL,,DET,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
91,1991-12-03,25,24-185,STL,@,MNS,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
92,1991-12-21,26,24-203,STL,,NYI,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
93,1991-12-22,27,24-204,STL,@,CHI,L,0,1,1,-1,0,0,0,0,0,,,,0,,,,,,,,
94,1991-12-26,28,24-208,STL,,CHI,W,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
95,1991-12-31,29,24-213,STL,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
96,1992-01-02,30,24-215,STL,,MNS,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
97,1992-01-04,31,24-217,STL,,DET,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
98,1992-01-06,32,24-219,STL,@,TOR,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
99,1992-01-08,33,24-221,STL,@,NYR,W,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
100,1992-01-09,34,24-222,STL,@,NJD,L,0,0,0,-3,4,0,0,0,0,,,,0,,,,,,,,
101,1992-01-11,35,24-224,STL,@,NYI,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
102,1992-01-14,36,24-227,STL,,WSH,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
103,1992-01-16,37,24-229,STL,,MTL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
104,1992-01-21,38,24-234,STL,,BUF,W,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
105,1992-01-23,39,24-236,STL,,LAK,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
106,1992-01-25,40,24-238,STL,,VAN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
107,1992-01-28,41,24-241,STL,@,LAK,T,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
108,1992-01-30,42,24-243,STL,@,SJS,W,0,0,0,-1,4,0,0,0,0,,,,0,,,,,,,,
109,1992-02-02,43,24-246,STL,@,PHI,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
110,1992-02-06,44,24-250,STL,,NJD,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
111,1992-02-08,45,24-252,STL,,CHI,L,0,0,0,0,4,0,0,0,0,,,,0,,,,,,,,
112,1992-02-11,46,24-255,STL,,LAK,W,0,0,0,2,2,0,0,0,0,,,,0,,,,,,,,
113,1992-02-13,47,24-257,STL,,BOS,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
114,1992-02-15,48,24-259,STL,,CGY,W,1,0,1,3,2,1,0,0,0,,,,3,33.3,,,,,,,
115,1992-02-17,49,24-261,STL,@,DET,L,0,0,0,-2,2,0,0,0,0,,,,0,,,,,,,,
116,1992-02-19,50,24-263,STL,@,WIN,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,,,,,,,
117,1992-02-22,51,24-266,STL,,TOR,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
118,1992-02-23,52,24-267,STL,@,CHI,L,0,0,0,-1,4,0,0,0,0,,,,0,,,,,,,,
119,1992-02-27,53,24-271,STL,,WSH,W,0,0,0,1,15,0,0,0,0,,,,1,0.0,,,,,,,
120,1992-02-29,54,24-273,STL,,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
121,1992-03-02,55,24-275,STL,@,VAN,W,0,0,0,-1,12,0,0,0,0,,,,0,,,,,,,,
122,1992-03-06,56,24-279,STL,@,EDM,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
123,1992-03-07,57,24-280,STL,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
124,1992-03-10,58,24-283,STL,,MNS,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
125,1992-03-12,59,24-285,STL,,DET,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
126,1992-03-14,60,24-287,STL,,NYR,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
127,1992-03-17,61,24-290,STL,@,WSH,L,1,0,1,-3,0,1,0,0,0,,,,3,33.3,,,,,,,
128,1992-03-19,62,24-292,STL,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
129,1992-03-21,63,24-294,STL,@,MTL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
130,1992-03-28,64,24-301,STL,,TOR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
131,1992-04-12,65,24-316,STL,@,MNS,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
132,1992-04-14,66,24-318,STL,,CHI,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
133,1992-04-16,67,24-320,STL,,MNS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
134,1992-10-10,1,25-131,STL,,CHI,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
135,1992-10-13,2,25-134,STL,,TBL,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
136,1992-10-15,3,25-136,STL,,MNS,L,0,0,0,0,17,0,0,0,0,,,,0,,,,,,,,
137,1992-10-17,4,25-138,STL,@,QUE,W,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
138,1992-10-19,5,25-140,STL,@,MTL,L,0,0,0,-2,6,0,0,0,0,,,,0,,,,,,,,
139,1992-10-24,6,25-145,STL,,DET,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,,,,,,,
140,1992-10-26,7,25-147,STL,,SJS,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
141,1992-10-29,8,25-150,STL,,PIT,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
142,1992-10-31,9,25-152,STL,,PHI,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
143,1992-11-03,10,25-155,STL,@,TBL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
144,1992-11-05,11,25-157,STL,@,PIT,L,0,0,0,-3,0,0,0,0,0,,,,3,0.0,,,,,,,
145,1992-11-07,12,25-159,STL,@,PHI,L,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
146,1992-11-10,13,25-162,STL,,EDM,T,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
147,1992-11-12,14,25-164,STL,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
148,1992-11-14,15,25-166,STL,,WIN,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
149,1992-11-16,16,25-168,STL,@,TOR,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
150,1992-11-18,17,25-170,STL,@,HAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
151,1992-11-21,18,25-173,STL,,TBL,W,0,0,0,1,2,0,0,0,0,,,,2,0.0,,,,,,,
152,1992-11-25,19,25-177,STL,@,DET,L,0,0,0,-4,0,0,0,0,0,,,,0,,,,,,,,
153,1992-11-26,20,25-178,STL,,VAN,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
154,1992-11-28,21,25-180,STL,,DET,T,0,0,0,1,2,0,0,0,0,,,,2,0.0,,,,,,,
155,1992-12-01,22,25-183,STL,,HAR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
156,1992-12-04,23,25-186,STL,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
157,1992-12-19,24,25-201,STL,,WIN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
158,1992-12-22,25,25-204,STL,@,MNS,T,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
159,1992-12-26,26,25-208,STL,@,CHI,W,1,0,1,1,2,1,0,0,1,,,,2,50.0,,,,,,,
160,1992-12-27,27,25-209,STL,,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
161,1992-12-31,28,25-213,STL,,NYI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
162,1993-01-02,29,25-215,STL,@,TOR,T,0,0,0,1,2,0,0,0,0,,,,2,0.0,,,,,,,
163,1993-01-03,30,25-216,STL,@,BUF,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,,,,,,,
164,1993-01-11,31,25-224,STL,@,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
165,1993-01-16,32,25-229,STL,@,TBL,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
166,1993-01-19,33,25-232,STL,,TOR,L,0,0,0,-3,0,0,0,0,0,,,,0,,,,,,,,
167,1993-01-23,34,25-236,STL,,DET,W,0,1,1,2,2,0,0,0,0,,,,0,,,,,,,,
168,1993-01-26,35,25-239,STL,,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
169,1993-01-28,36,25-241,STL,@,TBL,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
170,1993-02-13,37,25-257,STL,,DET,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,,,,,,,
171,1993-02-15,38,25-259,STL,@,NYR,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,,,,,,,
172,1993-02-17,39,25-261,STL,@,NJD,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
173,1993-02-18,40,25-262,STL,@,NYI,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
174,1993-02-21,41,25-265,STL,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
175,1993-02-23,42,25-267,STL,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
176,1993-02-25,43,25-269,STL,,LAK,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
177,1993-02-27,44,25-271,STL,,MNS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
178,1993-02-28,45,25-272,STL,@,CHI,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
179,1993-03-04,46,25-276,STL,,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
180,1993-03-06,47,25-278,STL,@,BOS,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
181,1993-03-11,48,25-283,STL,,SJS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
182,1993-03-13,49,25-285,STL,,MNS,W,1,0,1,2,2,1,0,0,0,,,,2,50.0,,,,,,,
183,1993-03-14,50,25-286,STL,@,MNS,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
184,1993-03-16,51,25-288,STL,,BUF,T,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
185,1993-03-20,52,25-292,STL,@,LAK,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
186,1993-03-22,53,25-294,STL,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
