,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,29-305,BUF,,MTL,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
1,1990-10-06,2,29-307,BUF,@,MTL,L,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
2,1990-10-10,3,29-311,BUF,@,HAR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
3,1990-10-12,4,29-313,BUF,,QUE,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
4,1990-10-13,5,29-314,BUF,@,QUE,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
5,1990-10-17,6,29-318,BUF,,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
6,1990-10-19,7,29-320,BUF,,PIT,T,0,0,0,1,2,0,0,0,0,,,,4,0.0,,,,,,,
7,1990-10-20,8,29-321,BUF,@,NYI,W,0,0,0,0,4,0,0,0,0,,,,0,,,,,,,,
8,1990-10-25,9,29-326,BUF,@,NJD,L,0,0,0,-2,2,0,0,0,0,,,,2,0.0,,,,,,,
9,1990-10-27,10,29-328,BUF,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
10,1990-10-28,11,29-329,BUF,,HAR,W,0,0,0,2,2,0,0,0,0,,,,1,0.0,,,,,,,
11,1990-10-31,12,29-332,BUF,,BOS,T,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
12,1990-11-03,13,29-335,BUF,@,BOS,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
13,1990-11-04,14,29-336,BUF,,CGY,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
14,1990-11-07,15,29-339,BUF,@,NYR,L,0,0,0,-2,2,0,0,0,0,,,,3,0.0,,,,,,,
15,1990-11-09,16,29-341,BUF,,VAN,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
16,1990-11-10,17,29-342,BUF,@,WSH,W,0,2,2,2,0,0,0,0,0,,,,2,0.0,,,,,,,
17,1990-11-14,18,29-346,BUF,@,LAK,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
18,1990-11-16,19,29-348,BUF,@,EDM,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
19,1990-11-17,20,29-349,BUF,@,CGY,T,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
20,1990-11-21,21,29-353,BUF,,NYR,T,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1990-11-23,22,29-355,BUF,,EDM,W,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
22,1990-11-26,23,29-358,BUF,@,NYR,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,,,,,,,
23,1990-12-14,24,30-011,BUF,,PIT,L,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
24,1990-12-16,25,30-013,BUF,,STL,L,1,0,1,0,0,1,0,0,0,,,,2,50.0,,,,,,,
25,1990-12-18,26,30-015,BUF,@,HAR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
26,1990-12-20,27,30-017,BUF,@,BOS,L,1,0,1,0,0,1,0,0,0,,,,1,100.0,,,,,,,
27,1990-12-23,28,30-020,BUF,,QUE,W,1,0,1,3,0,1,0,0,0,,,,3,33.3,,,,,,,
28,1990-12-26,29,30-023,BUF,,BOS,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
29,1990-12-28,30,30-025,BUF,,CHI,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
30,1990-12-29,31,30-026,BUF,@,NJD,T,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
31,1990-12-31,32,30-028,BUF,,PHI,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,,,,,,,
32,1991-01-02,33,30-030,BUF,,NYI,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
33,1991-01-04,34,30-032,BUF,,WIN,W,0,0,0,2,0,0,0,0,0,,,,3,0.0,,,,,,,
34,1991-01-08,35,30-036,BUF,@,VAN,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
35,1991-01-10,36,30-038,BUF,@,LAK,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
36,1991-01-12,37,30-040,BUF,@,MNS,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
37,1991-01-14,38,30-042,BUF,@,TOR,W,0,1,1,3,0,0,0,0,0,,,,0,,,,,,,,
38,1991-01-16,39,30-044,BUF,,DET,W,0,1,1,3,0,0,0,0,0,,,,0,,,,,,,,
39,1991-01-22,40,30-050,BUF,,BOS,W,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
40,1991-01-24,41,30-052,BUF,@,CHI,W,1,3,4,4,2,1,0,0,1,,,,1,100.0,,,,,,,
41,1991-01-26,42,30-054,BUF,@,MTL,L,0,0,0,-2,2,0,0,0,0,,,,3,0.0,,,,,,,
42,1991-01-27,43,30-055,BUF,,CGY,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
43,1991-01-29,44,30-057,BUF,@,STL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
44,1991-01-31,45,30-059,BUF,,QUE,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
45,1991-02-03,46,30-062,BUF,,EDM,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
46,1991-02-06,47,30-065,BUF,,STL,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
47,1991-02-08,48,30-067,BUF,,LAK,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
48,1991-02-10,49,30-069,BUF,@,WIN,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,,,,,,,
49,1991-02-12,50,30-071,BUF,@,QUE,T,0,0,0,2,0,0,0,0,0,,,,2,0.0,,,,,,,
50,1991-02-13,51,30-072,BUF,,MNS,T,0,1,1,4,0,0,0,0,0,,,,4,0.0,,,,,,,
51,1991-02-15,52,30-074,BUF,,MTL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
52,1991-02-17,53,30-076,BUF,,TOR,L,0,0,0,0,0,0,0,0,0,,,,6,0.0,,,,,,,
53,1991-02-19,54,30-078,BUF,@,PIT,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
54,1991-02-23,55,30-082,BUF,@,HAR,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
55,1991-02-24,56,30-083,BUF,,HAR,T,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
56,1991-02-26,57,30-085,BUF,@,NYI,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
57,1991-02-28,58,30-087,BUF,@,QUE,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
58,1991-03-02,59,30-089,BUF,@,BOS,W,1,0,1,1,2,1,0,0,0,,,,2,50.0,,,,,,,
59,1991-03-06,60,30-093,BUF,,NJD,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
60,1991-03-10,61,30-097,BUF,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
61,1991-03-12,62,30-099,BUF,@,MNS,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
62,1991-03-13,63,30-100,BUF,@,WIN,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
63,1991-03-16,64,30-103,BUF,@,MTL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
64,1991-03-17,65,30-104,BUF,,HAR,W,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
65,1991-03-20,66,30-107,BUF,,MTL,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
66,1991-03-23,67,30-110,BUF,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
67,1991-03-24,68,30-111,BUF,,PHI,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
68,1991-03-26,69,30-113,BUF,@,WSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
69,1991-03-28,70,30-115,BUF,,QUE,T,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
70,1991-03-30,71,30-117,BUF,@,HAR,T,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
71,1991-10-04,1,30-305,BUF,,PIT,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
72,1991-10-05,2,30-306,BUF,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
73,1991-10-09,3,30-310,BUF,,BOS,T,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
74,1991-10-12,4,30-313,BUF,@,QUE,W,1,0,1,0,0,1,0,0,1,,,,2,50.0,,,,,,,
75,1991-10-13,5,30-314,BUF,,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
76,1991-10-16,6,30-317,BUF,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
77,1991-10-18,7,30-319,BUF,,MTL,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
78,1991-10-19,8,30-320,BUF,@,HAR,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
79,1991-10-25,9,30-326,BUF,,SJS,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
80,1991-10-27,10,30-328,BUF,,HAR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
81,1991-10-30,11,30-331,BUF,@,DET,L,0,0,0,-1,6,0,0,0,0,,,,0,,,,,,,,
82,1991-11-01,12,30-333,BUF,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
83,1991-11-02,13,30-334,BUF,@,MTL,L,0,0,0,-3,0,0,0,0,0,,,,1,0.0,,,,,,,
84,1991-11-07,14,30-339,BUF,@,PHI,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
85,1991-11-08,15,30-340,BUF,,PHI,W,0,0,0,0,4,0,0,0,0,,,,2,0.0,,,,,,,
86,1991-11-12,16,30-344,BUF,@,SJS,W,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
87,1991-11-14,17,30-346,BUF,@,LAK,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
88,1991-11-16,18,30-348,BUF,@,CGY,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,,,,,,,
89,1991-11-20,19,30-352,BUF,,BOS,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
