,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1995-04-16,1,22-188,BUF,,OTT,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
1,1995-04-18,2,22-190,BUF,,HAR,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
2,1995-05-01,3,22-203,BUF,,MTL,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
3,1995-05-03,4,22-205,BUF,,NJD,W,0,2,2,2,0,0,0,0,0,,,,0,,,,,,,,
4,1995-10-07,1,22-362,BUF,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
5,1995-10-09,2,22-364,BUF,@,BOS,L,1,0,1,-2,2,0,1,0,0,,,,2,50.0,,,,,,,
6,1995-10-13,3,23-003,BUF,,MDA,L,0,0,0,-3,0,0,0,0,0,,,,3,0.0,,,,,,,
7,1995-10-15,4,23-005,BUF,,NJD,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
8,1995-10-18,5,23-008,BUF,,EDM,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1995-10-20,6,23-010,BUF,,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
10,1995-10-22,7,23-012,BUF,,STL,W,1,0,1,0,0,1,0,0,1,,,,3,33.3,,,,,,,
11,1995-10-24,8,23-014,BUF,@,DAL,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
12,1995-10-27,9,23-017,BUF,@,COL,L,2,1,3,-1,2,1,1,0,0,,,,4,50.0,,,,,,,
13,1995-10-29,10,23-019,BUF,@,CHI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
14,1995-11-01,11,23-022,BUF,,DET,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
15,1995-11-03,12,23-024,BUF,,PIT,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
16,1995-11-05,13,23-026,BUF,,WIN,L,0,0,0,0,4,0,0,0,0,,,,2,0.0,,,,,,,
17,1995-11-08,14,23-029,BUF,,SJS,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
18,1995-11-11,15,23-032,BUF,@,FLA,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
19,1995-11-12,16,23-033,BUF,@,TBL,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
20,1995-11-24,17,23-045,BUF,,NYI,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1995-11-27,18,23-048,BUF,@,STL,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
22,1995-11-29,19,23-050,BUF,@,NYR,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
23,1995-12-01,20,23-052,BUF,,HAR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
24,1995-12-02,21,23-053,BUF,@,BOS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
25,1995-12-07,22,23-058,BUF,@,PHI,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
26,1995-12-08,23,23-059,BUF,,WSH,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
27,1995-12-11,24,23-062,BUF,,TBL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
28,1995-12-13,25,23-064,BUF,,COL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
29,1995-12-15,26,23-066,BUF,,NYR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
30,1995-12-16,27,23-067,BUF,@,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
31,1995-12-20,28,23-071,BUF,,MTL,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
32,1995-12-22,29,23-073,BUF,,BOS,L,0,1,1,1,2,0,0,0,0,,,,0,,,,,,,,
33,1995-12-23,30,23-074,BUF,@,OTT,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
34,1995-12-26,31,23-077,BUF,@,PIT,L,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
35,1995-12-27,32,23-078,BUF,,OTT,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
36,1995-12-29,33,23-080,BUF,,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
37,1995-12-31,34,23-082,BUF,,NYI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
38,1996-01-06,35,23-088,BUF,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
39,1996-01-12,36,23-094,BUF,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
40,1996-01-17,37,23-099,BUF,,PIT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
41,1996-01-24,38,23-106,BUF,,HAR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
42,1996-01-26,39,23-108,BUF,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
43,1996-01-27,40,23-109,BUF,@,FLA,L,0,2,2,0,2,0,0,0,0,,,,3,0.0,,,,,,,
44,1996-01-30,41,23-112,BUF,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
45,1996-01-31,42,23-113,BUF,,FLA,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
46,1996-02-03,43,23-116,BUF,@,BOS,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
47,1996-02-04,44,23-117,BUF,,TBL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
48,1996-02-28,45,23-141,BUF,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
49,1996-03-01,46,23-143,BUF,@,NYR,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
50,1996-03-03,47,23-145,BUF,,VAN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
51,1996-03-22,48,23-164,BUF,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
52,1996-03-23,49,23-165,BUF,@,PIT,W,1,0,1,-2,4,0,1,0,0,,,,2,50.0,,,,,,,
53,1996-03-27,50,23-169,BUF,@,DET,L,1,0,1,1,2,1,0,0,0,,,,3,33.3,,,,,,,
54,1996-03-29,51,23-171,BUF,,PHI,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,,,,,,,
55,1996-03-31,52,23-173,BUF,,BOS,L,1,0,1,0,11,1,0,0,0,,,,1,100.0,,,,,,,
56,1996-04-01,53,23-174,BUF,@,MTL,W,1,0,1,-2,0,0,1,0,0,,,,1,100.0,,,,,,,
57,1996-04-03,54,23-176,BUF,,WSH,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
58,1996-04-05,55,23-178,BUF,@,TBL,W,1,1,2,0,0,0,1,0,0,,,,2,50.0,,,,,,,
59,1996-04-06,56,23-179,BUF,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
60,1996-04-10,57,23-183,BUF,,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
61,1996-04-13,58,23-186,BUF,@,WSH,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
62,1996-10-04,1,23-360,BUF,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
63,1996-10-06,2,23-362,BUF,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
64,1996-10-09,3,23-365,BUF,@,VAN,W,1,0,1,1,0,1,0,0,1,,,,3,33.3,,,,,,,
65,1996-10-12,4,24-002,BUF,,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
66,1996-10-15,5,24-005,BUF,,TBL,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
67,1996-10-17,6,24-007,BUF,,PIT,W,1,0,1,1,2,1,0,0,0,,,,4,25.0,,,,,,,
68,1996-10-18,7,24-008,BUF,@,WSH,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
69,1996-10-24,8,24-014,BUF,,MTL,W,1,1,2,2,2,0,0,1,0,,,,2,50.0,,,,,,,
70,1996-10-26,9,24-016,BUF,,HAR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
71,1996-10-27,10,24-017,BUF,@,NYR,L,1,0,1,-1,0,1,0,0,0,,,,2,50.0,,,,,,,
72,1996-10-30,11,24-020,BUF,@,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
73,1996-11-01,12,24-022,BUF,@,STL,W,1,1,2,2,0,1,0,0,0,,,,3,33.3,,,,,,,
74,1996-11-02,13,24-023,BUF,@,COL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
75,1996-11-07,14,24-028,BUF,,PHI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
76,1996-11-09,15,24-030,BUF,@,HAR,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
77,1996-11-11,16,24-032,BUF,,FLA,W,0,2,2,2,0,0,0,0,0,,,,1,0.0,,,,,,,
78,1996-11-12,17,24-033,BUF,@,PIT,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
79,1996-11-14,18,24-035,BUF,,COL,W,1,0,1,-1,0,1,0,0,1,,,,8,12.5,,,,,,,
80,1996-11-19,19,24-040,BUF,@,TOR,L,0,1,1,2,2,0,0,0,0,,,,0,,,,,,,,
81,1996-11-21,20,24-042,BUF,,TOR,W,0,0,0,-2,2,0,0,0,0,,,,2,0.0,,,,,,,
82,1996-11-23,21,24-044,BUF,@,BOS,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
83,1996-11-26,22,24-047,BUF,@,FLA,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
84,1996-11-27,23,24-048,BUF,@,TBL,W,1,0,1,1,10,1,0,0,1,,,,2,50.0,,,,,,,
85,1996-11-29,24,24-050,BUF,,OTT,W,0,1,1,2,0,0,0,0,0,,,,0,,,,,,,,
86,1996-11-30,25,24-051,BUF,@,NYI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
87,1996-12-04,26,24-055,BUF,,VAN,L,0,2,2,1,0,0,0,0,0,,,,0,,,,,,,,
88,1996-12-06,27,24-057,BUF,,MDA,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
89,1996-12-07,28,24-058,BUF,@,HAR,L,0,2,2,-1,2,0,0,0,0,,,,3,0.0,,,,,,,
90,1996-12-11,29,24-062,BUF,@,MTL,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
91,1996-12-13,30,24-064,BUF,,NYR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
92,1996-12-14,31,24-065,BUF,@,BOS,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
93,1996-12-18,32,24-069,BUF,,TBL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
94,1996-12-20,33,24-071,BUF,,LAK,W,2,1,3,3,0,2,0,0,0,,,,4,50.0,,,,,,,
95,1996-12-21,34,24-072,BUF,@,OTT,W,1,1,2,2,2,1,0,0,0,,,,1,100.0,,,,,,,
96,1996-12-23,35,24-074,BUF,@,NJD,T,0,0,0,0,2,0,0,0,0,,,,5,0.0,,,,,,,
97,1996-12-26,36,24-077,BUF,,HAR,W,0,1,1,2,2,0,0,0,0,,,,0,,,,,,,,
98,1996-12-28,37,24-079,BUF,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
99,1996-12-31,38,24-082,BUF,,NJD,W,1,0,1,-1,0,1,0,0,0,,,,1,100.0,,,,,,,
100,1997-01-03,39,24-085,BUF,,STL,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
101,1997-01-05,40,24-087,BUF,,PHX,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
102,1997-01-07,41,24-089,BUF,@,SJS,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
103,1997-01-09,42,24-091,BUF,@,LAK,L,0,1,1,-3,2,0,0,0,0,,,,1,0.0,,,,,,,
104,1997-01-10,43,24-092,BUF,@,MDA,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
105,1997-01-12,44,24-094,BUF,@,PHX,W,1,0,1,1,4,1,0,0,0,,,,2,50.0,,,,,,,
106,1997-01-15,45,24-097,BUF,@,NYI,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
107,1997-01-20,46,24-102,BUF,,CHI,W,1,0,1,0,0,0,0,1,1,,,,1,100.0,,,,,,,
108,1997-01-22,47,24-104,BUF,,MTL,W,1,0,1,1,2,1,0,0,0,,,,4,25.0,,,,,,,
109,1997-01-24,48,24-106,BUF,,EDM,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
110,1997-01-25,49,24-107,BUF,,HAR,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
111,1997-01-29,50,24-111,BUF,,PIT,W,0,0,0,0,4,0,0,0,0,,,,5,0.0,,,,,,,
112,1997-01-31,51,24-113,BUF,,DAL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
113,1997-02-02,52,24-115,BUF,,WSH,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
114,1997-02-04,53,24-117,BUF,@,PHI,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
115,1997-02-06,54,24-119,BUF,,FLA,T,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
116,1997-02-08,55,24-121,BUF,@,TBL,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
117,1997-02-09,56,24-122,BUF,,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
118,1997-02-12,57,24-125,BUF,,MTL,T,0,1,1,1,2,0,0,0,0,,,,6,0.0,,,,,,,
119,1997-02-16,58,24-129,BUF,,SJS,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
120,1997-02-18,59,24-131,BUF,,CGY,T,1,1,2,0,2,1,0,0,0,,,,2,50.0,,,,,,,
121,1997-02-21,60,24-134,BUF,,NYI,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
122,1997-02-23,61,24-136,BUF,,BOS,W,1,1,2,2,0,1,0,0,0,,,,3,33.3,,,,,,,
123,1997-02-27,62,24-140,BUF,@,NJD,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
124,1997-03-01,63,24-142,BUF,@,OTT,W,0,1,1,2,0,0,0,0,0,,,,0,,,,,,,,
125,1997-03-05,64,24-146,BUF,,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
126,1997-03-08,65,24-149,BUF,@,MTL,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
127,1997-03-09,66,24-150,BUF,,NJD,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
128,1997-03-11,67,24-152,BUF,,PHI,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
129,1997-03-15,68,24-156,BUF,@,PHI,W,2,0,2,0,2,1,1,0,1,,,,3,66.7,,,,,,,
130,1997-03-17,69,24-158,BUF,,BOS,W,1,0,1,1,0,1,0,0,1,,,,3,33.3,,,,,,,
131,1997-03-18,70,24-159,BUF,@,PIT,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
132,1997-03-21,71,24-162,BUF,@,WSH,W,1,0,1,-1,0,0,1,0,0,,,,2,50.0,,,,,,,
133,1997-03-22,72,24-163,BUF,@,FLA,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
134,1997-03-28,73,24-169,BUF,@,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
135,1997-03-30,74,24-171,BUF,@,CHI,L,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
136,1997-04-01,75,24-173,BUF,@,NYR,T,0,0,0,0,4,0,0,0,0,,,,4,0.0,,,,,,,
137,1997-04-02,76,24-174,BUF,,OTT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
138,1997-04-04,77,24-176,BUF,,NYR,W,0,3,3,2,0,0,0,0,0,,,,1,0.0,,,,,,,
139,1997-04-07,78,24-179,BUF,@,HAR,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
140,1997-04-10,79,24-182,BUF,@,BOS,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
141,1997-04-12,80,24-184,BUF,@,OTT,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
142,1997-04-13,81,24-185,BUF,,WSH,L,0,0,0,-3,0,0,0,0,0,,,,1,0.0,,,,,,,
143,1997-10-01,1,24-356,BUF,@,STL,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,26,19:29,,,,,
144,1997-10-03,2,24-358,BUF,@,WSH,L,0,1,1,-3,2,0,0,0,0,,,,0,,21,18:08,,,,,
145,1997-10-05,3,24-360,BUF,@,TBL,T,0,0,0,0,2,0,0,0,0,,,,4,0.0,26,22:48,,,,,
146,1997-10-07,4,24-362,BUF,,DAL,L,0,0,0,-2,2,0,0,0,0,,,,0,,24,19:19,,,,,
147,1997-10-09,5,24-364,BUF,,WSH,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,25,24:16,,,,,
148,1997-10-11,6,25-001,BUF,@,NJD,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,25,23:04,,,,,
149,1997-10-15,7,25-005,BUF,@,CAR,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,27,22:48,,,,,
150,1997-10-17,8,25-007,BUF,,MTL,L,0,1,1,-2,0,0,0,0,0,,,,0,,18,17:20,,,,,
151,1997-10-19,9,25-009,BUF,@,CHI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,23,17:08,,,,,
152,1997-10-22,10,25-012,BUF,,CGY,W,2,0,2,0,0,0,2,0,0,,,,4,50.0,28,23:58,,,,,
153,1997-10-26,11,25-016,BUF,@,PHX,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,25,17:13,,,,,
154,1997-10-28,12,25-018,BUF,@,COL,L,0,0,0,-2,0,0,0,0,0,,,,0,,30,20:43,,,,,
155,1997-10-31,13,25-021,BUF,@,CAR,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,25,19:13,,,,,
156,1997-11-01,14,25-022,BUF,@,FLA,W,0,0,0,-1,0,0,0,0,0,,,,4,0.0,26,19:37,,,,,
157,1997-11-06,15,25-027,BUF,,FLA,L,1,1,2,0,0,1,0,0,0,,,,1,100.0,25,19:22,,,,,
158,1997-11-08,16,25-029,BUF,@,PIT,T,0,1,1,1,0,0,0,0,0,,,,5,0.0,31,25:57,,,,,
159,1997-11-10,17,25-031,BUF,,EDM,T,0,0,0,-1,2,0,0,0,0,,,,0,,30,23:51,,,,,
160,1997-11-13,18,25-034,BUF,,WSH,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,23,21:19,,,,,
161,1997-11-24,19,25-045,BUF,@,PIT,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,15,11:55,,,,,
162,1997-11-26,20,25-047,BUF,,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,17,14:47,,,,,
163,1997-11-28,21,25-049,BUF,,NYR,T,0,1,1,0,0,0,0,0,0,,,,2,0.0,23,18:12,,,,,
164,1997-12-01,22,25-052,BUF,@,PHI,T,1,0,1,1,2,1,0,0,0,,,,1,100.0,25,15:59,,,,,
165,1997-12-03,23,25-054,BUF,,MDA,W,1,0,1,1,0,0,1,0,0,,,,4,25.0,17,15:52,,,,,
166,1997-12-05,24,25-056,BUF,,TBL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,19,20:00,,,,,
167,1997-12-06,25,25-057,BUF,@,OTT,L,0,0,0,0,0,0,0,0,0,,,,0,,25,21:50,,,,,
168,1997-12-11,26,25-062,BUF,@,BOS,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,20,17:55,,,,,
169,1997-12-12,27,25-063,BUF,,CAR,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,24,20:48,,,,,
170,1997-12-15,28,25-066,BUF,@,DAL,L,1,2,3,-2,0,0,1,0,0,,,,2,50.0,24,20:46,,,,,
171,1997-12-17,29,25-068,BUF,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,13:08,,,,,
172,1997-12-19,30,25-070,BUF,,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,19:00,,,,,
173,1997-12-21,31,25-072,BUF,@,NYR,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,22,17:12,,,,,
174,1997-12-23,32,25-074,BUF,,DET,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,18,15:44,,,,,
175,1997-12-26,33,25-077,BUF,,NYR,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,16,12:40,,,,,
176,1997-12-27,34,25-078,BUF,@,CAR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,17:10,,,,,
177,1997-12-29,35,25-080,BUF,,NJD,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,18,12:45,,,,,
178,1997-12-31,36,25-082,BUF,,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,14:25,,,,,
179,1998-01-02,37,25-084,BUF,,COL,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,7:52,,,,,
180,1998-01-07,38,25-089,BUF,@,MDA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,11:34,,,,,
181,1998-01-08,39,25-090,BUF,@,LAK,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,26,19:52,,,,,
182,1998-01-10,40,25-092,BUF,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,16:01,,,,,
183,1998-01-21,41,25-103,BUF,,CAR,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,18,13:06,,,,,
184,1998-01-23,42,25-105,BUF,,TBL,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,16,13:16,,,,,
185,1998-01-27,43,25-109,BUF,,STL,T,0,1,1,0,2,0,0,0,0,,,,3,0.0,20,17:39,,,,,
186,1998-01-30,44,25-112,BUF,,PHX,T,1,0,1,1,0,1,0,0,0,,,,3,33.3,25,16:33,,,,,
187,1998-02-01,45,25-114,BUF,@,FLA,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,22,17:20,,,,,
188,1998-02-02,46,25-115,BUF,@,TBL,W,1,3,4,4,0,1,0,0,0,,,,3,33.3,25,19:28,,,,,
189,1998-02-04,47,25-117,BUF,,BOS,T,0,0,0,-1,0,0,0,0,0,,,,3,0.0,21,19:29,,,,,
190,1998-02-06,48,25-119,BUF,,PIT,T,0,0,0,0,2,0,0,0,0,,,,2,0.0,23,19:02,,,,,
191,1998-02-07,49,25-120,BUF,@,MTL,W,1,0,1,1,2,0,0,1,0,,,,2,50.0,22,17:13,,,,,
192,1998-02-25,50,25-138,BUF,,TOR,T,0,0,0,1,0,0,0,0,0,,,,0,,27,21:45,,,,,
193,1998-02-26,51,25-139,BUF,@,BOS,T,0,0,0,0,0,0,0,0,0,,,,0,,30,21:51,,,,,
194,1998-03-01,52,25-142,BUF,@,WSH,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,13,11:55,,,,,
195,1998-03-17,53,25-158,BUF,,CHI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,12:06,,,,,
196,1998-03-19,54,25-160,BUF,,FLA,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,19,17:05,,,,,
197,1998-03-21,55,25-162,BUF,,BOS,L,0,0,0,0,4,0,0,0,0,,,,1,0.0,22,17:04,,,,,
198,1998-03-24,56,25-165,BUF,@,CGY,W,0,0,0,1,0,0,0,0,0,,,,0,,22,16:13,,,,,
199,1998-03-26,57,25-167,BUF,@,VAN,W,0,0,0,-1,0,0,0,0,0,,,,0,,20,17:19,,,,,
200,1998-03-27,58,25-168,BUF,@,EDM,W,0,0,0,0,2,0,0,0,0,,,,5,0.0,28,21:09,,,,,
201,1998-03-29,59,25-170,BUF,@,DET,L,0,1,1,-1,2,0,0,0,0,,,,0,,22,17:46,,,,,
202,1998-04-01,60,25-173,BUF,,LAK,W,0,2,2,1,0,0,0,0,0,,,,5,0.0,28,21:19,,,,,
203,1998-04-03,61,25-175,BUF,,BOS,W,1,0,1,0,0,1,0,0,0,,,,1,100.0,21,16:02,,,,,
204,1998-04-05,62,25-177,BUF,,OTT,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,21,16:04,,,,,
205,1998-04-08,63,25-180,BUF,,CAR,W,0,0,0,-1,2,0,0,0,0,,,,2,0.0,25,18:46,,,,,
206,1998-04-10,64,25-182,BUF,,MTL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,22,18:41,,,,,
207,1998-04-11,65,25-183,BUF,@,OTT,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,25,22:23,,,,,
208,1998-04-13,66,25-185,BUF,,PHI,W,0,1,1,1,2,0,0,0,0,,,,0,,24,15:03,,,,,
209,1998-04-15,67,25-187,BUF,@,NJD,L,2,0,2,2,0,1,0,1,0,,,,4,50.0,28,24:17,,,,,
210,1998-04-18,68,25-190,BUF,@,MTL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,11:20,,,,,
211,1998-04-19,69,25-191,BUF,,OTT,L,0,1,1,0,2,0,0,0,0,,,,0,,24,17:09,,,,,
212,1998-10-10,1,26-000,BUF,@,DAL,L,0,0,0,0,2,0,0,0,0,,,,0,,19,13:49,,,,,
213,1998-10-12,2,26-002,BUF,@,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,21,14:00,,,,,
214,1998-10-16,3,26-006,BUF,,FLA,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,23,18:39,,,,,
215,1998-10-17,4,26-007,BUF,@,MTL,W,1,0,1,0,0,0,1,0,0,,,,2,50.0,13,9:25,,,,,
216,1998-10-23,5,26-013,BUF,,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,14,12:33,,,,,
217,1998-10-24,6,26-014,BUF,@,NYI,L,1,0,1,0,0,1,0,0,0,,,,4,25.0,21,14:12,,,,,
218,1998-10-27,7,26-017,BUF,@,NYR,T,0,0,0,0,2,0,0,0,0,,,,1,0.0,24,20:37,,,,,
219,1998-10-30,8,26-020,BUF,,TOR,W,1,0,1,1,0,0,1,0,0,,,,2,50.0,16,14:49,,,,,
220,1998-10-31,9,26-021,BUF,@,TOR,W,0,1,1,3,0,0,0,0,0,,,,2,0.0,23,19:08,,,,,
221,1998-11-03,10,26-024,BUF,,BOS,W,0,0,0,-1,0,0,0,0,0,,,,4,0.0,25,22:03,,,,,
222,1998-11-07,11,26-028,BUF,@,PHI,T,1,0,1,1,0,1,0,0,0,,,,2,50.0,28,17:06,,,,,
223,1998-11-10,12,26-031,BUF,,OTT,T,0,0,0,0,2,0,0,0,0,,,,4,0.0,25,21:03,,,,,
224,1998-11-12,13,26-033,BUF,@,WSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,15:37,,,,,
